job tittle, company name,Skills,full/part time, links here
Backend Engineering Manager (Python),Paymob Solutions -,Full TimeManager · 9 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Python · Django · Management · Development · Engineering · Software Development,Full Time,https://wuzzuf.net/jobs/p/oMOPuoMvqBGP-Backend-Engineering-Manager-Python-Paymob-Solutions-Cairo-Egypt?o=1&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Senior Python Django Developer,Itechs -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Development · CI/CD · APIs · Information Technology (IT) · Software · Python · Software Development · Programming · DevOps,Full Time,https://wuzzuf.net/jobs/p/K09ikDegUaj3-Senior-Python-Django-Developer-Itechs-Cairo-Egypt?o=2&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Python Developer,Paymob Solutions -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Python · Django · Docker · Information Technology (IT) · AWS · API · Angular · Software Development · NoSQL,Full Time,https://wuzzuf.net/jobs/p/5hLbhnF7QJr7-Python-Developer-Paymob-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · APIs · CSS · Design · Development · Front end · HTML,Full Time,https://wuzzuf.net/jobs/p/IWq4Il9Uiw5V-Senior-Full-Stack-React-Python-Django-Developer---Remote-GetTechForce-com-Cairo-Egypt?o=4&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Senior Python Developer,Human Quality -,Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · JavaScript · OOP · Python · Software Development · Django · HTML5 · Programming · Computer Science · front-end,Full TimeWork From Home,https://wuzzuf.net/jobs/p/W9FwcYEbjdRS-Senior-Python-Developer-Human-Quality-Cairo-Egypt?o=5&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Python Developer,Advanced Solutions Co. -,Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software,Full Time,https://wuzzuf.net/jobs/p/ZicQrIC0wZN0-Python-Developer-Advanced-Solutions-Co-Cairo-Egypt?o=6&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL,Full TimeWork From Home,https://wuzzuf.net/jobs/p/HlkQEe9yO5FT-Junior-Python-Developer-Remote-Internship-–-IT-TALENTKOMPASS-deutschland-Alexandria-Egypt?o=7&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Python Developer,Multi Level Group (MLG) -,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development,Full Time,https://wuzzuf.net/jobs/p/NEuzz9ILgVlu-Python-Developer-Multi-Level-Group-MLG-Cairo-Egypt?o=8&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Python Automation Engineer,Expleo -,Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development,Full Time,https://wuzzuf.net/jobs/p/HYEkWqovIYbY-Python-Automation-Engineer-Expleo-Cairo-Egypt?o=9&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
Python Developer,Sceel.io -,Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development,Full Time,https://wuzzuf.net/jobs/p/xvFGmf1AZPjq-Python-Developer-Sceel-io-Cairo-Egypt?o=10&l=sp&t=sj&a=%%python|search-v3|hpb%7Cspbg
